"","ptt","date","seasonlight","hours_daylight"
"1","174962","2018-08-04","24LIGHT",24
"2","174962","2018-08-05","24LIGHT",24
"3","174962","2018-08-06","24LIGHT",24
"4","174962","2018-08-07","24LIGHT",24
"5","174962","2018-08-08","24LIGHT",24
"6","174962","2018-08-09","24LIGHT",24
"7","174962","2018-08-10","24LIGHT",24
"8","174962","2018-08-11","24LIGHT",24
"9","174962","2018-08-12","DAY_NIGHT",23.25
"10","174962","2018-08-13","DAY_NIGHT",22.5
"11","174962","2018-08-14","DAY_NIGHT",22
"12","174962","2018-08-15","DAY_NIGHT",21.25
"13","174962","2018-08-16","DAY_NIGHT",21
"14","174962","2018-08-17","DAY_NIGHT",20.5
"15","174962","2018-08-18","DAY_NIGHT",20
"16","174962","2018-08-19","DAY_NIGHT",20
"17","174962","2018-08-20","DAY_NIGHT",20
"18","174962","2018-08-21","DAY_NIGHT",19.75
"19","174962","2018-08-22","DAY_NIGHT",19.25
"20","174962","2018-08-23","DAY_NIGHT",18.75
"21","174962","2018-08-24","DAY_NIGHT",18.25
"22","174962","2018-08-25","DAY_NIGHT",17.75
"23","174962","2018-08-26","DAY_NIGHT",17.75
"24","174962","2018-08-27","DAY_NIGHT",17.5
"25","174962","2018-08-28","DAY_NIGHT",17.5
"26","174962","2018-08-29","DAY_NIGHT",17.25
"27","174962","2018-08-30","DAY_NIGHT",17.5
"28","174962","2018-08-31","DAY_NIGHT",17.5
"29","174962","2018-09-01","DAY_NIGHT",17.5
"30","174962","2018-09-02","DAY_NIGHT",17.25
"31","174962","2018-09-03","DAY_NIGHT",17
"32","174962","2018-09-04","DAY_NIGHT",16.75
"33","174962","2018-09-05","DAY_NIGHT",16.75
"34","174962","2018-09-06","DAY_NIGHT",16.25
"35","174962","2018-09-07","DAY_NIGHT",16.25
"36","174962","2018-09-08","DAY_NIGHT",16
"37","174962","2018-09-09","DAY_NIGHT",15.75
"38","174962","2018-09-10","DAY_NIGHT",16
"39","174962","2018-09-11","DAY_NIGHT",15.75
"40","174962","2018-09-12","DAY_NIGHT",15.75
"41","174962","2018-09-13","DAY_NIGHT",15.25
"42","174962","2018-09-14","DAY_NIGHT",14.75
"43","174962","2018-09-15","DAY_NIGHT",14.5
"44","174962","2018-09-16","DAY_NIGHT",14.25
"45","174962","2018-09-17","DAY_NIGHT",14
"46","174962","2018-09-18","DAY_NIGHT",13.75
"47","174962","2018-09-19","DAY_NIGHT",13.5
"48","174962","2018-09-20","DAY_NIGHT",13.25
"49","174962","2018-09-21","DAY_NIGHT",13
"50","174962","2018-09-22","DAY_NIGHT",12.5
"51","174962","2018-09-23","DAY_NIGHT",12.5
"52","174962","2018-09-24","DAY_NIGHT",12.25
"53","174962","2018-09-25","DAY_NIGHT",12
"54","174962","2018-09-26","DAY_NIGHT",11.75
"55","174962","2018-09-27","DAY_NIGHT",11.75
"56","174962","2018-09-28","DAY_NIGHT",11.5
"57","174962","2018-09-29","DAY_NIGHT",11.25
"58","174962","2018-09-30","DAY_NIGHT",10.75
"59","174962","2018-10-01","DAY_NIGHT",10.5
"60","174962","2018-10-02","DAY_NIGHT",10.25
"61","174962","2018-10-03","DAY_NIGHT",10
"62","174962","2018-10-04","DAY_NIGHT",9.75
"63","174962","2018-10-05","DAY_NIGHT",9.5
"64","174962","2018-10-06","DAY_NIGHT",9.5
"65","174962","2018-10-07","DAY_NIGHT",9.25
"66","174962","2018-10-08","DAY_NIGHT",9.5
"67","174962","2018-10-09","DAY_NIGHT",9.25
"68","174962","2018-10-10","DAY_NIGHT",9
"69","174962","2018-10-11","DAY_NIGHT",8.75
"70","174962","2018-10-12","DAY_NIGHT",8.75
"71","174962","2018-10-13","DAY_NIGHT",8.75
"72","174962","2018-10-14","DAY_NIGHT",8.5
"73","174962","2018-10-15","DAY_NIGHT",9
"74","174962","2018-10-16","DAY_NIGHT",8.75
"75","174962","2018-10-17","DAY_NIGHT",8.75
"76","174962","2018-10-18","DAY_NIGHT",8.5
"77","174962","2018-10-19","DAY_NIGHT",8.5
"78","174962","2018-10-20","DAY_NIGHT",8.25
"79","174962","2018-10-21","DAY_NIGHT",8.25
"80","174962","2018-10-22","DAY_NIGHT",8.25
"81","174962","2018-10-23","DAY_NIGHT",8
"82","174962","2018-10-24","DAY_NIGHT",8
"83","174962","2018-10-25","DAY_NIGHT",7.75
"84","174962","2018-10-26","DAY_NIGHT",7.75
"85","174962","2018-10-27","DAY_NIGHT",7.5
"86","174962","2018-10-28","DAY_NIGHT",7.5
"87","174962","2018-10-29","DAY_NIGHT",7.5
"88","174962","2018-10-30","DAY_NIGHT",7.25
