datetime,depth
2018-08-04 00:00:00,501
2018-08-04 00:01:15,501
2018-08-04 00:02:30,501
2018-08-04 00:03:45,501
2018-08-04 00:05:00,501
2018-08-04 00:06:15,357.5
2018-08-04 00:07:30,196.5
2018-08-04 00:08:45,62.5
2018-08-04 00:10:00,4.5
2018-08-04 00:11:15,4.5
2018-08-04 00:12:30,4.5
2018-08-04 00:13:45,4.5
2018-08-04 00:15:00,4.5
2018-08-04 00:16:15,4.5
2018-08-04 00:17:30,31
2018-08-04 00:18:45,196.5
2018-08-04 00:20:00,357.5
2018-08-04 00:21:15,501
2018-08-04 00:22:30,501
2018-08-04 00:23:45,501
2018-08-04 00:25:00,501
2018-08-04 00:26:15,501
2018-08-04 00:27:30,429
2018-08-04 00:28:45,196.5
2018-08-04 00:30:00,44.5
2018-08-04 00:31:15,4.5
2018-08-04 00:32:30,4.5
2018-08-04 00:33:45,4.5
2018-08-04 00:35:00,4.5
2018-08-04 00:36:15,4.5
2018-08-04 00:37:30,13.5
2018-08-04 00:38:45,4.5
2018-08-04 00:40:00,4.5
2018-08-04 00:41:15,4.5
2018-08-04 00:42:30,161
2018-08-04 00:43:45,357.5
2018-08-04 00:45:00,501
2018-08-04 00:46:15,501
2018-08-04 00:47:30,501
2018-08-04 00:48:45,501
2018-08-04 00:50:00,501
2018-08-04 00:51:15,357.5
2018-08-04 00:52:30,196.5
2018-08-04 00:53:45,31
2018-08-04 00:55:00,4.5
2018-08-04 00:56:15,4.5
2018-08-04 00:57:30,13.5
2018-08-04 00:58:45,13.5
2018-08-04 01:00:00,NA
2018-08-04 01:01:15,NA
2018-08-04 01:02:30,NA
2018-08-04 01:03:45,NA
2018-08-04 01:05:00,NA
2018-08-04 01:06:15,NA
2018-08-04 01:07:30,NA
2018-08-04 01:08:45,NA
2018-08-04 01:10:00,NA
2018-08-04 01:11:15,NA
2018-08-04 01:12:30,NA
2018-08-04 01:13:45,NA
2018-08-04 01:15:00,NA
2018-08-04 01:16:15,NA
2018-08-04 01:17:30,NA
2018-08-04 01:18:45,NA
2018-08-04 01:20:00,NA
2018-08-04 01:21:15,NA
2018-08-04 01:22:30,NA
2018-08-04 01:23:45,NA
2018-08-04 01:25:00,NA
2018-08-04 01:26:15,NA
2018-08-04 01:27:30,NA
2018-08-04 01:28:45,NA
2018-08-04 01:30:00,NA
2018-08-04 01:31:15,NA
2018-08-04 01:32:30,NA
2018-08-04 01:33:45,NA
2018-08-04 01:35:00,NA
2018-08-04 01:36:15,NA
2018-08-04 01:37:30,NA
2018-08-04 01:38:45,NA
2018-08-04 01:40:00,NA
2018-08-04 01:41:15,NA
2018-08-04 01:42:30,NA
2018-08-04 01:43:45,NA
2018-08-04 01:45:00,NA
2018-08-04 01:46:15,NA
2018-08-04 01:47:30,NA
2018-08-04 01:48:45,NA
2018-08-04 01:50:00,NA
2018-08-04 01:51:15,NA
2018-08-04 01:52:30,NA
2018-08-04 01:53:45,NA
2018-08-04 01:55:00,NA
2018-08-04 01:56:15,NA
2018-08-04 01:57:30,NA
2018-08-04 01:58:45,NA
2018-08-04 02:00:00,286
2018-08-04 02:01:15,98.5
2018-08-04 02:02:30,4.5
2018-08-04 02:03:45,4.5
2018-08-04 02:05:00,4.5
2018-08-04 02:06:15,4.5
2018-08-04 02:07:30,4.5
2018-08-04 02:08:45,4.5
2018-08-04 02:10:00,4.5
2018-08-04 02:11:15,4.5
2018-08-04 02:12:30,4.5
2018-08-04 02:13:45,4.5
2018-08-04 02:15:00,4.5
2018-08-04 02:16:15,4.5
2018-08-04 02:17:30,4.5
2018-08-04 02:18:45,13.5
2018-08-04 02:20:00,13.5
2018-08-04 02:21:15,4.5
2018-08-04 02:22:30,4.5
2018-08-04 02:23:45,4.5
2018-08-04 02:25:00,4.5
2018-08-04 02:26:15,4.5
2018-08-04 02:27:30,125
2018-08-04 02:28:45,286
2018-08-04 02:30:00,501
2018-08-04 02:31:15,501
2018-08-04 02:32:30,501
2018-08-04 02:33:45,501
2018-08-04 02:35:00,501
2018-08-04 02:36:15,357.5
2018-08-04 02:37:30,196.5
2018-08-04 02:38:45,44.5
2018-08-04 02:40:00,4.5
2018-08-04 02:41:15,4.5
2018-08-04 02:42:30,4.5
2018-08-04 02:43:45,4.5
2018-08-04 02:45:00,4.5
2018-08-04 02:46:15,13.5
2018-08-04 02:47:30,13.5
2018-08-04 02:48:45,4.5
2018-08-04 02:50:00,4.5
2018-08-04 02:51:15,4.5
2018-08-04 02:52:30,31
2018-08-04 02:53:45,196.5
2018-08-04 02:55:00,357.5
2018-08-04 02:56:15,501
2018-08-04 02:57:30,501
2018-08-04 02:58:45,501
2018-08-04 03:00:00,486.5
2018-08-04 03:01:15,417
2018-08-04 03:02:30,278
2018-08-04 03:03:45,121.5
2018-08-04 03:05:00,13
2018-08-04 03:06:15,4.5
2018-08-04 03:07:30,4.5
2018-08-04 03:08:45,4.5
2018-08-04 03:10:00,4.5
2018-08-04 03:11:15,13
2018-08-04 03:12:30,4.5
2018-08-04 03:13:45,4.5
2018-08-04 03:15:00,4.5
2018-08-04 03:16:15,4.5
2018-08-04 03:17:30,4.5
2018-08-04 03:18:45,4.5
2018-08-04 03:20:00,4.5
2018-08-04 03:21:15,4.5
2018-08-04 03:22:30,4.5
2018-08-04 03:23:45,4.5
2018-08-04 03:25:00,60.5
2018-08-04 03:26:15,225.5
2018-08-04 03:27:30,417
2018-08-04 03:28:45,486.5
2018-08-04 03:30:00,486.5
2018-08-04 03:31:15,486.5
2018-08-04 03:32:30,486.5
2018-08-04 03:33:45,347.5
2018-08-04 03:35:00,156.5
2018-08-04 03:36:15,21.5
2018-08-04 03:37:30,4.5
2018-08-04 03:38:45,4.5
2018-08-04 03:40:00,4.5
2018-08-04 03:41:15,4.5
2018-08-04 03:42:30,4.5
2018-08-04 03:43:45,4.5
2018-08-04 03:45:00,4.5
2018-08-04 03:46:15,4.5
2018-08-04 03:47:30,4.5
2018-08-04 03:48:45,4.5
2018-08-04 03:50:00,4.5
2018-08-04 03:51:15,4.5
2018-08-04 03:52:30,4.5
2018-08-04 03:53:45,4.5
2018-08-04 03:55:00,4.5
2018-08-04 03:56:15,13
2018-08-04 03:57:30,13
2018-08-04 03:58:45,4.5
2018-08-04 04:00:00,21.5
2018-08-04 04:01:15,21.5
2018-08-04 04:02:30,13
2018-08-04 04:03:45,4.5
2018-08-04 04:05:00,4.5
2018-08-04 04:06:15,4.5
2018-08-04 04:07:30,21.5
2018-08-04 04:08:45,191
2018-08-04 04:10:00,347.5
2018-08-04 04:11:15,486.5
2018-08-04 04:12:30,486.5
2018-08-04 04:13:45,486.5
2018-08-04 04:15:00,486.5
2018-08-04 04:16:15,417
2018-08-04 04:17:30,278
2018-08-04 04:18:45,95.5
2018-08-04 04:20:00,4.5
2018-08-04 04:21:15,4.5
2018-08-04 04:22:30,4.5
2018-08-04 04:23:45,4.5
2018-08-04 04:25:00,4.5
2018-08-04 04:26:15,13
2018-08-04 04:27:30,13
2018-08-04 04:28:45,4.5
2018-08-04 04:30:00,4.5
2018-08-04 04:31:15,4.5
2018-08-04 04:32:30,13
2018-08-04 04:33:45,4.5
2018-08-04 04:35:00,4.5
2018-08-04 04:36:15,4.5
2018-08-04 04:37:30,4.5
2018-08-04 04:38:45,4.5
2018-08-04 04:40:00,4.5
2018-08-04 04:41:15,95.5
2018-08-04 04:42:30,278
2018-08-04 04:43:45,486.5
2018-08-04 04:45:00,486.5
2018-08-04 04:46:15,486.5
2018-08-04 04:47:30,486.5
2018-08-04 04:48:45,486.5
2018-08-04 04:50:00,347.5
2018-08-04 04:51:15,156.5
2018-08-04 04:52:30,21.5
2018-08-04 04:53:45,4.5
2018-08-04 04:55:00,4.5
2018-08-04 04:56:15,13
2018-08-04 04:57:30,13
2018-08-04 04:58:45,4.5
2018-08-04 05:00:00,NA
2018-08-04 05:01:15,NA
2018-08-04 05:02:30,NA
2018-08-04 05:03:45,NA
2018-08-04 05:05:00,NA
2018-08-04 05:06:15,NA
2018-08-04 05:07:30,NA
2018-08-04 05:08:45,NA
2018-08-04 05:10:00,NA
2018-08-04 05:11:15,NA
2018-08-04 05:12:30,NA
2018-08-04 05:13:45,NA
